"country","colonizer","col","colstart_max","colend_max","colstart_mean","colend_mean"
"Estonia","belgium",0,NA,NA,NA,NA
"Eswatini","belgium",0,NA,NA,NA,NA
"Ethiopia","belgium",0,NA,NA,NA,NA
"Fiji","belgium",0,NA,NA,NA,NA
"Finland","belgium",0,NA,NA,NA,NA
"France","belgium",0,NA,NA,NA,NA
"Gabon","belgium",0,NA,NA,NA,NA
"Gambia","belgium",0,NA,NA,NA,NA
"Georgia","belgium",0,NA,NA,NA,NA
"Germany","belgium",0,NA,NA,NA,NA
"Ghana","belgium",0,NA,NA,NA,NA
"Greece","belgium",0,NA,NA,NA,NA
"Grenada","belgium",0,NA,NA,NA,NA
"Guatemala","belgium",0,NA,NA,NA,NA
"Guinea","belgium",0,NA,NA,NA,NA
"Guinea-Bissau","belgium",0,NA,NA,NA,NA
"Guyana","belgium",0,NA,NA,NA,NA
"Haiti","belgium",0,NA,NA,NA,NA
"Honduras","belgium",0,NA,NA,NA,NA
"Hungary","belgium",0,NA,NA,NA,NA
"Iceland","belgium",0,NA,NA,NA,NA
"India","belgium",0,NA,NA,NA,NA
"Indonesia","belgium",0,NA,NA,NA,NA
"Iran","belgium",0,NA,NA,NA,NA
"Iraq","belgium",0,NA,NA,NA,NA
"Ireland","belgium",0,NA,NA,NA,NA
"Israel","belgium",0,NA,NA,NA,NA
"Italy","belgium",0,NA,NA,NA,NA
"Jamaica","belgium",0,NA,NA,NA,NA
"Japan","belgium",0,NA,NA,NA,NA
"Jordan","belgium",0,NA,NA,NA,NA
"Kazakhstan","belgium",0,NA,NA,NA,NA
"Kenya","belgium",0,NA,NA,NA,NA
"Kiribati","belgium",0,NA,NA,NA,NA
"Kosovo","belgium",0,NA,NA,NA,NA
"Kuwait","belgium",0,NA,NA,NA,NA
"Kyrgyzstan","belgium",0,NA,NA,NA,NA
"Laos","belgium",0,NA,NA,NA,NA
"Latvia","belgium",0,NA,NA,NA,NA
"Lebanon","belgium",0,NA,NA,NA,NA
"Lesotho","belgium",0,NA,NA,NA,NA
"Liberia","belgium",0,NA,NA,NA,NA
"Libya","belgium",0,NA,NA,NA,NA
"Liechtenstein","belgium",0,NA,NA,NA,NA
"Lithuania","belgium",0,NA,NA,NA,NA
"Luxembourg","belgium",0,NA,NA,NA,NA
"Madagascar","belgium",0,NA,NA,NA,NA
"Malawi","belgium",0,NA,NA,NA,NA
"Malaysia","belgium",0,NA,NA,NA,NA
"Maldives","belgium",0,NA,NA,NA,NA
"Mali","belgium",0,NA,NA,NA,NA
"Malta","belgium",0,NA,NA,NA,NA
"Marshall Islands","belgium",0,NA,NA,NA,NA
"Mauritania","belgium",0,NA,NA,NA,NA
"Mauritius","belgium",0,NA,NA,NA,NA
"Mexico","belgium",0,NA,NA,NA,NA
"Micronesia (Federated States of)","belgium",0,NA,NA,NA,NA
"Moldova","belgium",0,NA,NA,NA,NA
"Monaco","belgium",0,NA,NA,NA,NA
"Mongolia","belgium",0,NA,NA,NA,NA
"Montenegro","belgium",0,NA,NA,NA,NA
"Morocco","belgium",0,NA,NA,NA,NA
"Mozambique","belgium",0,NA,NA,NA,NA
"Myanmar (Burma)","belgium",0,NA,NA,NA,NA
"Namibia","belgium",0,NA,NA,NA,NA
"Nauru","belgium",0,NA,NA,NA,NA
"Nepal","belgium",0,NA,NA,NA,NA
"Netherlands","belgium",0,NA,NA,NA,NA
"New Zealand","belgium",0,NA,NA,NA,NA
"Nicaragua","belgium",0,NA,NA,NA,NA
"Niger","belgium",0,NA,NA,NA,NA
"Nigeria","belgium",0,NA,NA,NA,NA
"North Korea","belgium",0,NA,NA,NA,NA
"North Macedonia","belgium",0,NA,NA,NA,NA
"Norway","belgium",0,NA,NA,NA,NA
"Oman","belgium",0,NA,NA,NA,NA
"Pakistan","belgium",0,NA,NA,NA,NA
"Palau","belgium",0,NA,NA,NA,NA
"Panama","belgium",0,NA,NA,NA,NA
"Papua New Guinea","belgium",0,NA,NA,NA,NA
"Paraguay","belgium",0,NA,NA,NA,NA
"Peru","belgium",0,NA,NA,NA,NA
"Philippines","belgium",0,NA,NA,NA,NA
"Poland","belgium",0,NA,NA,NA,NA
"Portugal","belgium",0,NA,NA,NA,NA
"Qatar","belgium",0,NA,NA,NA,NA
"Romania","belgium",0,NA,NA,NA,NA
"Russia","belgium",0,NA,NA,NA,NA
"Rwanda","belgium",1,1922,1962,1919,1962
"Samoa","belgium",0,NA,NA,NA,NA
"San Marino","belgium",0,NA,NA,NA,NA
"São Tomé & Príncipe","belgium",0,NA,NA,NA,NA
"Saudi Arabia","belgium",0,NA,NA,NA,NA
"Senegal","belgium",0,NA,NA,NA,NA
"Serbia","belgium",0,NA,NA,NA,NA
"Seychelles","belgium",0,NA,NA,NA,NA
"Sierra Leone","belgium",0,NA,NA,NA,NA
"Singapore","belgium",0,NA,NA,NA,NA
"Slovakia","belgium",0,NA,NA,NA,NA
"Slovenia","belgium",0,NA,NA,NA,NA
"Solomon Islands","belgium",0,NA,NA,NA,NA
"Somalia","belgium",0,NA,NA,NA,NA
"South Africa","belgium",0,NA,NA,NA,NA
"South Korea","belgium",0,NA,NA,NA,NA
"South Sudan","belgium",0,NA,NA,NA,NA
"Spain","belgium",0,NA,NA,NA,NA
"Sri Lanka","belgium",0,NA,NA,NA,NA
"St. Kitts & Nevis","belgium",0,NA,NA,NA,NA
"St. Lucia","belgium",0,NA,NA,NA,NA
"St. Vincent & Grenadines","belgium",0,NA,NA,NA,NA
"Sudan","belgium",0,NA,NA,NA,NA
"Suriname","belgium",0,NA,NA,NA,NA
"Sweden","belgium",0,NA,NA,NA,NA
"Switzerland","belgium",0,NA,NA,NA,NA
"Syria","belgium",0,NA,NA,NA,NA
"Taiwan","belgium",0,NA,NA,NA,NA
"Tajikistan","belgium",0,NA,NA,NA,NA
"Tanzania","belgium",0,NA,NA,NA,NA
"Thailand","belgium",0,NA,NA,NA,NA
"Timor-Leste","belgium",0,NA,NA,NA,NA
"Togo","belgium",0,NA,NA,NA,NA
"Tonga","belgium",0,NA,NA,NA,NA
"Trinidad & Tobago","belgium",0,NA,NA,NA,NA
"Tunisia","belgium",0,NA,NA,NA,NA
"Turkey","belgium",0,NA,NA,NA,NA
"Turkmenistan","belgium",0,NA,NA,NA,NA
"Tuvalu","belgium",0,NA,NA,NA,NA
"Uganda","belgium",0,NA,NA,NA,NA
"Ukraine","belgium",0,NA,NA,NA,NA
"United Arab Emirates","belgium",0,NA,NA,NA,NA
"United Kingdom","belgium",0,NA,NA,NA,NA
"United States","belgium",0,NA,NA,NA,NA
"Uruguay","belgium",0,NA,NA,NA,NA
"Uzbekistan","belgium",0,NA,NA,NA,NA
"Vanuatu","belgium",0,NA,NA,NA,NA
"Venezuela","belgium",0,NA,NA,NA,NA
"Vietnam","belgium",0,NA,NA,NA,NA
"Yemen","belgium",0,NA,NA,NA,NA
"Zambia","belgium",0,NA,NA,NA,NA
"Zimbabwe","belgium",0,NA,NA,NA,NA
"Afghanistan","britain",0,NA,NA,NA,NA
"Albania","britain",0,NA,NA,NA,NA
"Algeria","britain",0,NA,NA,NA,NA
"Andorra","britain",0,NA,NA,NA,NA
"Angola","britain",0,NA,NA,NA,NA
"Antigua & Barbuda","britain",1,1632,1981,1632,1974
"Argentina","britain",0,NA,NA,NA,NA
"Armenia","britain",0,NA,NA,NA,NA
"Australia","britain",1,1829,1919,1798,1904
"Austria","britain",0,NA,NA,NA,NA
"Azerbaijan","britain",0,NA,NA,NA,NA
"Bahamas","britain",1,1783,1973,1738,1973
"Bahrain","britain",1,1861,1971,1861,1971
"Bangladesh","britain",1,1857,1947,1796,1947
"Barbados","britain",1,1627,1966,1627,1966
"Belarus","britain",0,NA,NA,NA,NA
"Belgium","britain",0,NA,NA,NA,NA
"Belize","britain",1,1798,1981,1798,1980
"Benin","britain",0,NA,NA,NA,NA
"Bhutan","britain",1,1910,1949,1888,1949
"Bolivia","britain",0,NA,NA,NA,NA
"Bosnia & Herzegovina","britain",0,NA,NA,NA,NA
"Botswana","britain",1,1895,1966,1887,1966
"Brazil","britain",0,NA,NA,NA,NA
"Brunei","britain",1,1888,1984,1888,1984
"Bulgaria","britain",0,NA,NA,NA,NA
"Burkina Faso","britain",0,NA,NA,NA,NA
"Burundi","britain",0,NA,NA,NA,NA
"Cambodia","britain",0,NA,NA,NA,NA
"Cameroon","britain",0,NA,NA,NA,NA
"Canada","britain",1,1763,1919,1737,1877
"Cape Verde","britain",0,NA,NA,NA,NA
"Central African Republic","britain",0,NA,NA,NA,NA
"Chad","britain",0,NA,NA,NA,NA
"Chile","britain",0,NA,NA,NA,NA
"China","britain",0,NA,NA,NA,NA
"Colombia","britain",0,NA,NA,NA,NA
"Comoros","britain",0,NA,NA,NA,NA
"Congo - Brazzaville","britain",0,NA,NA,NA,NA
"Congo - Kinshasa","britain",0,NA,NA,NA,NA
"Costa Rica","britain",0,NA,NA,NA,NA
"Côte d’Ivoire","britain",0,NA,NA,NA,NA
"Croatia","britain",0,NA,NA,NA,NA
"Cuba","britain",0,NA,NA,NA,NA
"Cyprus","britain",1,1914,1960,1887,1960
"Czechia","britain",0,NA,NA,NA,NA
"Denmark","britain",0,NA,NA,NA,NA
"Djibouti","britain",0,NA,NA,NA,NA
"Dominica","britain",1,1805,1978,1805,1972
"Dominican Republic","britain",0,NA,NA,NA,NA
"Ecuador","britain",0,NA,NA,NA,NA
"Egypt","britain",1,1882,1935,1882,1926
"El Salvador","britain",0,NA,NA,NA,NA
"Equatorial Guinea","britain",1,1827,1857,1827,1857
"Eritrea","britain",1,1941,1951,1941,1951
"Estonia","britain",0,NA,NA,NA,NA
"Eswatini","britain",1,1903,1968,1897,1968
"Ethiopia","britain",0,NA,NA,NA,NA
"Fiji","britain",1,1874,1970,1872,1970
"Finland","britain",0,NA,NA,NA,NA
"France","britain",0,NA,NA,NA,NA
"Gabon","britain",0,NA,NA,NA,NA
"Gambia","britain",1,1888,1965,1852,1965
"Georgia","britain",0,NA,NA,NA,NA
"Germany","britain",0,NA,NA,NA,NA
"Ghana","britain",1,1874,1957,1874,1957
"Greece","britain",0,NA,NA,NA,NA
"Grenada","britain",1,1762,1974,1762,1970
"Guatemala","britain",0,NA,NA,NA,NA
"Guinea","britain",0,NA,NA,NA,NA
"Guinea-Bissau","britain",0,NA,NA,NA,NA
"Guyana","britain",1,1814,1966,1814,1966
"Haiti","britain",0,NA,NA,NA,NA
"Honduras","britain",0,NA,NA,NA,NA
"Hungary","britain",0,NA,NA,NA,NA
"Iceland","britain",0,NA,NA,NA,NA
"India","britain",1,1857,1947,1803,1947
"Indonesia","britain",0,NA,NA,NA,NA
"Iran","britain",0,NA,NA,NA,NA
"Iraq","britain",1,1920,1932,1917,1932
"Ireland","britain",0,NA,NA,NA,NA
"Israel","britain",1,1923,1948,1920,1948
"Italy","britain",0,NA,NA,NA,NA
"Jamaica","britain",1,1655,1962,1655,1962
"Japan","britain",0,NA,NA,NA,NA
"Jordan","britain",1,1923,1946,1923,1946
"Kazakhstan","britain",0,NA,NA,NA,NA
"Kenya","britain",1,1895,1963,1891,1963
"Kiribati","britain",1,1892,1979,1892,1979
"Kosovo","britain",0,NA,NA,NA,NA
"Kuwait","britain",1,1914,1961,1914,1961
"Kyrgyzstan","britain",0,NA,NA,NA,NA
"Laos","britain",0,NA,NA,NA,NA
"Latvia","britain",0,NA,NA,NA,NA
"Lebanon","britain",0,NA,NA,NA,NA
"Lesotho","britain",1,1884,1966,1874,1966
"Liberia","britain",0,NA,NA,NA,NA
"Libya","britain",1,1946,1952,1946,1952
"Liechtenstein","britain",0,NA,NA,NA,NA
"Lithuania","britain",0,NA,NA,NA,NA
"Luxembourg","britain",0,NA,NA,NA,NA
"Madagascar","britain",0,NA,NA,NA,NA
"Malawi","britain",1,1891,1964,1891,1964
"Malaysia","britain",1,1888,1963,1847,1958
"Maldives","britain",1,1887,1965,1887,1965
"Mali","britain",0,NA,NA,NA,NA
"Malta","britain",0,NA,NA,NA,NA
"Marshall Islands","britain",0,NA,NA,NA,NA
"Mauritania","britain",0,NA,NA,NA,NA
"Mauritius","britain",1,1810,1968,1810,1968
"Mexico","britain",0,NA,NA,NA,NA
"Micronesia (Federated States of)","britain",0,NA,NA,NA,NA
"Moldova","britain",0,NA,NA,NA,NA
"Monaco","britain",0,NA,NA,NA,NA
"Mongolia","britain",0,NA,NA,NA,NA
"Montenegro","britain",0,NA,NA,NA,NA
"Morocco","britain",0,NA,NA,NA,NA
"Mozambique","britain",0,NA,NA,NA,NA
"Myanmar (Burma)","britain",1,1886,1948,1879,1948
"Namibia","britain",1,1915,1920,1915,1920
"Nauru","britain",1,1914,1968,1914,1944
"Nepal","britain",0,NA,NA,NA,NA
"Netherlands","britain",0,NA,NA,NA,NA
"New Zealand","britain",1,1840,1920,1840,1909
"Nicaragua","britain",0,NA,NA,NA,NA
"Niger","britain",0,NA,NA,NA,NA
"Nigeria","britain",1,1899,1960,1874,1960
"North Korea","britain",0,NA,NA,NA,NA
"North Macedonia","britain",0,NA,NA,NA,NA
"Norway","britain",0,NA,NA,NA,NA
"Oman","britain",0,NA,NA,NA,NA
"Pakistan","britain",1,1857,1947,1830,1947
"Palau","britain",0,NA,NA,NA,NA
"Panama","britain",0,NA,NA,NA,NA
"Papua New Guinea","britain",1,1884,1920,1884,1912
"Paraguay","britain",0,NA,NA,NA,NA
"Peru","britain",0,NA,NA,NA,NA
"Philippines","britain",0,NA,NA,NA,NA
"Poland","britain",0,NA,NA,NA,NA
"Portugal","britain",0,NA,NA,NA,NA
"Qatar","britain",1,1916,1971,1914,1970
"Romania","britain",0,NA,NA,NA,NA
"Russia","britain",0,NA,NA,NA,NA
"Rwanda","britain",0,NA,NA,NA,NA
"Samoa","britain",1,1914,1920,1914,1920
"San Marino","britain",0,NA,NA,NA,NA
"São Tomé & Príncipe","britain",0,NA,NA,NA,NA
"Saudi Arabia","britain",0,NA,NA,NA,NA
"Senegal","britain",1,1693,1817,1693,1817
"Serbia","britain",0,NA,NA,NA,NA
"Seychelles","britain",1,1814,1976,1814,1976
"Sierra Leone","britain",1,1896,1961,1838,1961
"Singapore","britain",1,1826,1963,1821,1961
"Slovakia","britain",0,NA,NA,NA,NA
"Slovenia","britain",0,NA,NA,NA,NA
"Solomon Islands","britain",1,1893,1978,1893,1978
"Somalia","britain",1,1888,1960,1885,1956
"South Africa","britain",1,1814,1920,1801,1912
"South Korea","britain",0,NA,NA,NA,NA
"South Sudan","britain",0,NA,NA,NA,NA
"Spain","britain",0,NA,NA,NA,NA
"Sri Lanka","britain",1,1798,1948,1797,1948
"St. Kitts & Nevis","britain",1,1623,1983,1623,1975
"St. Lucia","britain",1,1814,1979,1814,1973
"St. Vincent & Grenadines","britain",1,1762,1979,1762,1974
"Sudan","britain",1,1898,1956,1898,1956
"Suriname","britain",0,NA,NA,NA,NA
"Sweden","britain",0,NA,NA,NA,NA
"Switzerland","britain",0,NA,NA,NA,NA
"Syria","britain",0,NA,NA,NA,NA
"Taiwan","britain",0,NA,NA,NA,NA
"Tajikistan","britain",0,NA,NA,NA,NA
"Tanzania","britain",1,1918,1963,1912,1961
"Thailand","britain",0,NA,NA,NA,NA
"Timor-Leste","britain",0,NA,NA,NA,NA
"Togo","britain",0,NA,NA,NA,NA
"Tonga","britain",1,1900,1970,1900,1970
"Trinidad & Tobago","britain",1,1797,1962,1797,1962
"Tunisia","britain",0,NA,NA,NA,NA
"Turkey","britain",0,NA,NA,NA,NA
"Turkmenistan","britain",0,NA,NA,NA,NA
"Tuvalu","britain",1,1892,1979,1892,1978
"Uganda","britain",1,1894,1962,1892,1962
"Ukraine","britain",0,NA,NA,NA,NA
"United Arab Emirates","britain",1,1892,1971,1892,1971
"United Kingdom","britain",0,NA,NA,NA,NA
"United States","britain",1,1607,1783,1607,1781
"Uruguay","britain",0,NA,NA,NA,NA
"Uzbekistan","britain",0,NA,NA,NA,NA
"Vanuatu","britain",1,1906,1980,1906,1980
"Venezuela","britain",0,NA,NA,NA,NA
"Vietnam","britain",0,NA,NA,NA,NA
"Yemen","britain",1,1959,1967,1879,1967
"Zambia","britain",1,1923,1964,1900,1964
"Zimbabwe","britain",1,1923,1980,1900,1975
"Afghanistan","france",0,NA,NA,NA,NA
"Albania","france",0,NA,NA,NA,NA
"Algeria","france",1,1848,1962,1836,1962
"Andorra","france",0,NA,NA,NA,NA
"Angola","france",0,NA,NA,NA,NA
"Antigua & Barbuda","france",0,NA,NA,NA,NA
"Argentina","france",0,NA,NA,NA,NA
"Armenia","france",0,NA,NA,NA,NA
"Australia","france",0,NA,NA,NA,NA
"Austria","france",0,NA,NA,NA,NA
"Azerbaijan","france",0,NA,NA,NA,NA
"Bahamas","france",0,NA,NA,NA,NA
"Bahrain","france",0,NA,NA,NA,NA
"Bangladesh","france",0,NA,NA,NA,NA
"Barbados","france",0,NA,NA,NA,NA
"Belarus","france",0,NA,NA,NA,NA
"Belgium","france",0,NA,NA,NA,NA
"Belize","france",0,NA,NA,NA,NA
"Benin","france",1,1894,1960,1873,1960
"Bhutan","france",0,NA,NA,NA,NA
"Bolivia","france",0,NA,NA,NA,NA
"Bosnia & Herzegovina","france",0,NA,NA,NA,NA
"Botswana","france",0,NA,NA,NA,NA
"Brazil","france",0,NA,NA,NA,NA
"Brunei","france",0,NA,NA,NA,NA
"Bulgaria","france",0,NA,NA,NA,NA
"Burkina Faso","france",1,1895,1960,1895,1960
"Burundi","france",0,NA,NA,NA,NA
"Cambodia","france",1,1884,1953,1868,1952
"Cameroon","france",1,1922,1960,1922,1960
"Canada","france",1,1608,1763,1608,1763
"Cape Verde","france",0,NA,NA,NA,NA
"Central African Republic","france",1,1906,1960,1898,1960
"Chad","france",1,1910,1960,1899,1960
"Chile","france",0,NA,NA,NA,NA
"China","france",0,NA,NA,NA,NA
"Colombia","france",0,NA,NA,NA,NA
"Comoros","france",1,1914,1975,1878,1975
"Congo - Brazzaville","france",1,1882,1960,1881,1960
"Congo - Kinshasa","france",0,NA,NA,NA,NA
"Costa Rica","france",0,NA,NA,NA,NA
"Côte d’Ivoire","france",1,1889,1960,1869,1960
"Croatia","france",0,NA,NA,NA,NA
"Cuba","france",0,NA,NA,NA,NA
"Cyprus","france",0,NA,NA,NA,NA
"Czechia","france",0,NA,NA,NA,NA
"Denmark","france",0,NA,NA,NA,NA
"Djibouti","france",1,1884,1977,1869,1977
"Dominica","france",1,1632,1763,1632,1763
"Dominican Republic","france",0,NA,NA,NA,NA
"Ecuador","france",0,NA,NA,NA,NA
"Egypt","france",0,NA,NA,NA,NA
"El Salvador","france",0,NA,NA,NA,NA
"Equatorial Guinea","france",0,NA,NA,NA,NA
"Eritrea","france",0,NA,NA,NA,NA
"Estonia","france",0,NA,NA,NA,NA
"Eswatini","france",0,NA,NA,NA,NA
"Ethiopia","france",0,NA,NA,NA,NA
"Fiji","france",0,NA,NA,NA,NA
"Finland","france",0,NA,NA,NA,NA
"France","france",0,NA,NA,NA,NA
"Gabon","france",1,1886,1960,1855,1960
"Gambia","france",0,NA,NA,NA,NA
"Georgia","france",0,NA,NA,NA,NA
"Germany","france",0,NA,NA,NA,NA
"Ghana","france",0,NA,NA,NA,NA
"Greece","france",0,NA,NA,NA,NA
"Grenada","france",1,1650,1762,1650,1762
"Guatemala","france",0,NA,NA,NA,NA
"Guinea","france",1,1881,1958,1858,1958
"Guinea-Bissau","france",0,NA,NA,NA,NA
"Guyana","france",0,NA,NA,NA,NA
"Haiti","france",1,1665,1804,1665,1804
"Honduras","france",0,NA,NA,NA,NA
"Hungary","france",0,NA,NA,NA,NA
"Iceland","france",0,NA,NA,NA,NA
"India","france",0,NA,NA,NA,NA
"Indonesia","france",0,NA,NA,NA,NA
"Iran","france",0,NA,NA,NA,NA
"Iraq","france",0,NA,NA,NA,NA
"Ireland","france",0,NA,NA,NA,NA
"Israel","france",0,NA,NA,NA,NA
"Italy","france",0,NA,NA,NA,NA
"Jamaica","france",0,NA,NA,NA,NA
"Japan","france",0,NA,NA,NA,NA
"Jordan","france",0,NA,NA,NA,NA
"Kazakhstan","france",0,NA,NA,NA,NA
"Kenya","france",0,NA,NA,NA,NA
"Kiribati","france",0,NA,NA,NA,NA
"Kosovo","france",0,NA,NA,NA,NA
"Kuwait","france",0,NA,NA,NA,NA
"Kyrgyzstan","france",0,NA,NA,NA,NA
"Laos","france",1,1893,1954,1892,1952
"Latvia","france",0,NA,NA,NA,NA
"Lebanon","france",1,1923,1946,1921,1946
"Lesotho","france",0,NA,NA,NA,NA
"Liberia","france",0,NA,NA,NA,NA
"Libya","france",0,NA,NA,NA,NA
"Liechtenstein","france",0,NA,NA,NA,NA
"Lithuania","france",0,NA,NA,NA,NA
"Luxembourg","france",0,NA,NA,NA,NA
"Madagascar","france",1,1895,1960,1890,1960
"Malawi","france",0,NA,NA,NA,NA
"Malaysia","france",0,NA,NA,NA,NA
"Maldives","france",0,NA,NA,NA,NA
"Mali","france",1,1904,1960,1897,1960
"Malta","france",0,NA,NA,NA,NA
"Marshall Islands","france",0,NA,NA,NA,NA
"Mauritania","france",1,1903,1960,1882,1960
"Mauritius","france",1,1715,1810,1715,1810
"Mexico","france",0,NA,NA,NA,NA
"Micronesia (Federated States of)","france",0,NA,NA,NA,NA
"Moldova","france",0,NA,NA,NA,NA
"Monaco","france",0,NA,NA,NA,NA
"Mongolia","france",0,NA,NA,NA,NA
"Montenegro","france",0,NA,NA,NA,NA
"Morocco","france",1,1912,1956,1912,1956
"Mozambique","france",0,NA,NA,NA,NA
"Myanmar (Burma)","france",0,NA,NA,NA,NA
"Namibia","france",0,NA,NA,NA,NA
"Nauru","france",0,NA,NA,NA,NA
"Nepal","france",0,NA,NA,NA,NA
"Netherlands","france",0,NA,NA,NA,NA
"New Zealand","france",0,NA,NA,NA,NA
"Nicaragua","france",0,NA,NA,NA,NA
"Niger","france",1,1922,1960,1910,1960
"Nigeria","france",0,NA,NA,NA,NA
"North Korea","france",0,NA,NA,NA,NA
"North Macedonia","france",0,NA,NA,NA,NA
"Norway","france",0,NA,NA,NA,NA
"Oman","france",0,NA,NA,NA,NA
"Pakistan","france",0,NA,NA,NA,NA
"Palau","france",0,NA,NA,NA,NA
"Panama","france",0,NA,NA,NA,NA
"Papua New Guinea","france",0,NA,NA,NA,NA
"Paraguay","france",0,NA,NA,NA,NA
"Peru","france",0,NA,NA,NA,NA
"Philippines","france",0,NA,NA,NA,NA
"Poland","france",0,NA,NA,NA,NA
"Portugal","france",0,NA,NA,NA,NA
"Qatar","france",0,NA,NA,NA,NA
"Romania","france",0,NA,NA,NA,NA
"Russia","france",0,NA,NA,NA,NA
"Rwanda","france",0,NA,NA,NA,NA
"Samoa","france",0,NA,NA,NA,NA
"San Marino","france",0,NA,NA,NA,NA
"São Tomé & Príncipe","france",0,NA,NA,NA,NA
"Saudi Arabia","france",0,NA,NA,NA,NA
"Senegal","france",1,1854,1960,1770,1960
"Serbia","france",0,NA,NA,NA,NA
"Seychelles","france",1,1756,1794,1756,1794
"Sierra Leone","france",0,NA,NA,NA,NA
"Singapore","france",0,NA,NA,NA,NA
"Slovakia","france",0,NA,NA,NA,NA
"Slovenia","france",0,NA,NA,NA,NA
"Solomon Islands","france",0,NA,NA,NA,NA
"Somalia","france",0,NA,NA,NA,NA
"South Africa","france",0,NA,NA,NA,NA
"South Korea","france",0,NA,NA,NA,NA
"South Sudan","france",0,NA,NA,NA,NA
"Spain","france",0,NA,NA,NA,NA
"Sri Lanka","france",0,NA,NA,NA,NA
"St. Kitts & Nevis","france",0,NA,NA,NA,NA
"St. Lucia","france",1,1650,1814,1650,1814
"St. Vincent & Grenadines","france",0,NA,NA,NA,NA
"Sudan","france",0,NA,NA,NA,NA
"Suriname","france",0,NA,NA,NA,NA
"Sweden","france",0,NA,NA,NA,NA
"Switzerland","france",0,NA,NA,NA,NA
"Syria","france",1,1923,1946,1922,1944
"Taiwan","france",0,NA,NA,NA,NA
"Tajikistan","france",0,NA,NA,NA,NA
"Tanzania","france",0,NA,NA,NA,NA
"Thailand","france",0,NA,NA,NA,NA
"Timor-Leste","france",0,NA,NA,NA,NA
"Togo","france",1,1922,1960,1922,1960
"Tonga","france",0,NA,NA,NA,NA
"Trinidad & Tobago","france",0,NA,NA,NA,NA
"Tunisia","france",1,1881,1956,1877,1956
"Turkey","france",0,NA,NA,NA,NA
"Turkmenistan","france",0,NA,NA,NA,NA
"Tuvalu","france",0,NA,NA,NA,NA
"Uganda","france",0,NA,NA,NA,NA
"Ukraine","france",0,NA,NA,NA,NA
"United Arab Emirates","france",0,NA,NA,NA,NA
"United Kingdom","france",0,NA,NA,NA,NA
"United States","france",0,NA,NA,NA,NA
"Uruguay","france",0,NA,NA,NA,NA
"Uzbekistan","france",0,NA,NA,NA,NA
"Vanuatu","france",1,1887,1980,1887,1980
"Venezuela","france",0,NA,NA,NA,NA
"Vietnam","france",1,1887,1954,1869,1951
"Yemen","france",0,NA,NA,NA,NA
